0 gpu 4 2
1 gpu 2 2

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.45              Pass
2                       0.44              Pass
4                       0.48              Pass
8                       0.46              Pass
16                      0.60              Pass
32                      0.60              Pass
64                      0.60              Pass
128                     0.81              Pass
256                     0.84              Pass
512                     0.83              Pass
1024                    0.91              Pass
2048                    0.92              Pass
4096                    0.96              Pass
8192                    1.11              Pass
16384                   1.35              Pass
32768                   1.70              Pass
65536                   2.34              Pass
131072                  3.70              Pass
262144                  7.38              Pass
524288                 18.47              Pass
1048576                33.82              Pass
2097152                63.66              Pass
4194304               126.16              Pass
